,community area name,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes
0,Albany Park,1607.2272727272727,0.4200568515112753,0.6896845393513068,0.06102550838955276,58310.32727272727,0.5060167050739447,0.23323441804260864,0.09515441726402432,79.91004751029378,11981.331923274234,0.05248561033604982,10.918181818181818,12.618181818181819,8.58181818181818,27.481818181818184,25.4,0.49633603943948773,0.30291877637347875,96.01148089539683
1,Archer Heights,1361.25,0.4355547031470011,0.8313835383698297,0.08307060954575345,46192.95,0.6938333625567874,0.28372055736898133,0.11992358611186096,84.6705448097928,3873.1067808077146,0.30378604098956935,12.5,13.180000000000001,8.86,26.6,23.16,0.43157972295903296,0.3173253205683034,70.70879557485623
2,Armour Square,1683.0,0.6309416747696084,0.8420719532710855,0.16580058706302686,28915.35,0.826826786460494,0.19051606687437958,0.2568693645416138,80.93205228553528,5761.040328570789,0.24415055083569398,18.3,14.940000000000001,10.16,22.080000000000002,19.96,0.27661361626878855,0.3929804429921276,73.91299647908538
3,Ashburn,1631.5208333333333,0.29474800693601877,0.8984166912251504,0.11546288267199345,70093.60416666667,0.6394378937729233,0.26807870268421286,0.1140721359818871,83.70706348828121,3972.5285602842077,0.24856274771571968,11.9625,12.625,10.3,27.8,24.2625,0.478125921013852,0.3499697975249528,76.21606209439625
4,Auburn Gresham,991.1088888888888,0.5211422236541093,0.9941521549967313,0.18996848533344862,34718.26888888889,0.6862037325824245,0.21635255245828838,0.18171722341445679,82.37987570529292,4982.260363898605,0.1908863872304065,16.433333333333334,15.386666666666667,13.066666666666666,21.953333333333333,20.56,0.28700756459377125,0.4539484659090236,78.83420974701673
5,Austin,1157.7550595238097,0.5644824059031746,0.9618647720133108,0.1279231816844337,32789.47757936508,0.6451266971281293,0.23736697433203482,0.1429578354869209,82.54086693376006,5961.557308901308,0.1686462207286382,16.650000000000002,16.3625,12.983333333333334,21.120833333333334,20.337500000000002,0.266305015227429,0.46358179399646177,81.74132782588384
6,Avalon Park,972.9583333333333,0.3862998398176295,0.9933493505291745,0.155953966411862,40539.33333333333,0.7324472120711063,0.18205847102152745,0.22902007257234244,81.93121965709909,3007.8334303136194,0.2199341694573949,14.350000000000001,12.75,12.15,24.65,22.8,0.38653109342764547,0.39674020428253703,76.96103540605809
7,Avondale,1423.325,0.4063949397447934,0.6401314179791135,0.04933517259605715,59336.39166666666,0.41639403161545674,0.19856163717959335,0.08907741267464837,81.909132452812,8687.565937813697,0.1349170721561613,11.040000000000001,12.67,8.709999999999999,27.27,25.490000000000002,0.4942012967875037,0.30743640940308536,89.5714147742064
8,Belmont Cragin,1876.1676470588234,0.4380111013536516,0.8693840882697595,0.07016645230051047,48352.12549019608,0.5655088098868026,0.26684924547005506,0.08997654983834971,84.45408784329167,8603.796895599873,0.1303151542477805,13.241176470588234,13.9,9.129411764705882,24.24705882352941,22.488235294117647,0.37215027478719154,0.3270256278337985,87.35240666028032
9,Beverly,1062.8333333333333,0.09045605168398664,0.38571350586446146,0.04544085886649523,111853.73809523809,0.7042921817872899,0.24303275492309437,0.16442328187227875,79.35749573318925,2726.2231685512274,0.09072232653383264,8.614285714285714,9.485714285714284,9.042857142857143,35.81428571428571,31.428571428571427,0.7847774830533452,0.3164371033695854,95.1524657779927
10,Bridgeport,1399.1966666666667,0.4194651038988101,0.673297424308299,0.08444146419825985,50402.176666666666,0.45717476146306646,0.1804176454407722,0.12810174440093944,82.31150377832653,7657.031006594019,0.21531996944206067,11.59,12.026666666666667,8.306666666666667,28.793333333333333,25.256666666666668,0.5183981727085174,0.2994724542927455,82.25087071131475
11,Brighton Park,1686.7916666666667,0.5460995677543454,0.9336978501476016,0.10305598984022887,42754.325,0.6034350717735014,0.28182647593750854,0.08843074300035196,83.75131495974424,8759.575553090759,0.16539924746718773,14.41,14.940000000000001,9.17,22.07,20.65,0.2911656351311523,0.3348320895346415,83.06701419092585
12,Burnside,1168.0,0.41103510980865154,0.995483288166215,0.218406341259908,22924.0,0.697314990512334,0.130147452817083,0.27813279353298,80.67171943448825,1609.7538116698408,0.20674849759899,15.9,14.3,12.6,22.4,21.2,0.309239610963749,0.426714733602846,78.34263862560495
13,Calumet Heights,798.8095238095239,0.3504170903112141,0.9868000608867445,0.12507868560747964,48511.719047619044,0.6260926544186096,0.1342080871151287,0.24157980775122714,81.66492879228981,3177.9480741171583,0.21293581127857672,14.059999999999999,12.02,11.68,25.3,23.46,0.41308576480990256,0.3782547880514096,79.2488469908997
14,Chatham,940.8983333333333,0.4835147888435228,0.9824805525207221,0.16809039660775332,36949.926666666666,0.6353826354529165,0.2079992418782773,0.17305735563722827,81.1560583724096,5393.550368037462,0.14364201403160315,16.11,14.41,12.709999999999999,22.740000000000002,20.64,0.3037872089596227,0.43170327162706956,85.08294869117154
15,Chicago Lawn,1229.1424242424243,0.6118740636390303,0.9674802655989811,0.2324240204825802,34968.76515151515,0.6403372589242123,0.26424938230819284,0.120856890782209,83.52332040388272,7360.10393229438,0.15361368066853812,16.036363636363635,16.727272727272727,11.70909090909091,20.5,19.545454545454547,0.23748760817726336,0.42524763728422665,82.16533600553117
