,community,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes,trees_planted
11,Brighton Park,1686.79166666667,0.546099567754345,0.933697850147602,0.103055989840229,42754.325,0.603435071773501,0.281826475937509,0.088430743000352,83.7513149597442,8759.57555309076,0.165399247467188,14.41,14.94,9.17,22.07,20.65,0.291165635131152,0.334832089534641,83.0670141909259,7
12,Burnside,1168,0.411035109808652,0.995483288166215,0.218406341259908,22924,0.697314990512334,0.130147452817083,0.27813279353298,80.6717194344883,1609.75381166984,0.20674849759899,15.9,14.3,12.6,22.4,21.2,0.309239610963749,0.426714733602846,78.342638625605,4
13,Calumet Heights,798.809523809524,0.350417090311214,0.986800060886744,0.12507868560748,48511.719047619,0.62609265441861,0.134208087115129,0.241579807751227,81.6649287922898,3177.94807411716,0.212935811278577,14.06,12.02,11.68,25.3,23.46,0.413085764809903,0.37825478805141,79.2488469908997,6.5
14,Chatham,940.898333333333,0.483514788843523,0.982480552520722,0.168090396607753,36949.9266666667,0.635382635452917,0.207999241878277,0.173057355637228,81.1560583724096,5393.55036803746,0.143642014031603,16.11,14.41,12.71,22.74,20.64,0.303787208959623,0.43170327162707,85.0829486911715,6.6
15,Chicago Lawn,1229.14242424242,0.61187406363903,0.967480265598981,0.23242402048258,34968.7651515151,0.640337258924212,0.264249382308193,0.120856890782209,83.5233204038827,7360.10393229438,0.153613680668538,16.0363636363636,16.7272727272727,11.7090909090909,20.5,19.5454545454545,0.237487608177263,0.425247637284227,82.1653360055312,7.4
16,Clearing,1377.92857142857,0.326308172759533,0.620388529402354,0.093133098950488,59134.6904761905,0.60210255486955,0.244650913459863,0.128978688282466,85.3828624416136,5349.71624028616,0.245192182040213,12.1714285714286,12.9142857142857,9.12857142857143,29.2,25.4428571428571,0.530167150856806,0.341217794971252,78.4276349674087,10.1
17,Douglas,1267.68333333333,0.540842644512195,0.890404884505933,0.143585415920849,33249.25,0.508640255797089,0.168124772308292,0.139110443485631,78.5338619269131,7352.92140915625,0.152624541022911,15.03,14.88,12.16,23.06,20.97,0.316968759210138,0.418308943596557,86.0786775925847,4.9
18,Dunning,1361.62878787879,0.241056865181849,0.363496534739774,0.045564976196311,70112.4757575758,0.618115192214643,0.194739293358384,0.181938415009265,84.0049905947619,5073.10829830423,0.182576425688415,11.3545454545455,11.7454545454545,8.96363636363636,32.0818181818182,27.3545454545455,0.626222436567264,0.335686577947107,87.0362788502121,9.7
19,East Garfield Park,1143.66666666667,0.703974650505108,0.94407355534742,0.177725941741417,24558.5833333333,0.728414175291657,0.315312941679064,0.094786353042759,80.5749446478526,4860.86926556848,0.225516319012742,19.4083333333333,19.1333333333333,14.15,18.5166666666667,17.4416666666667,0.154539984281364,0.532351674683833,74.1966204093631,9.6
20,East Side,1713.31944444444,0.506951121512513,0.857105102107887,0.1476231209539,47114.3888888889,0.717629663417743,0.299278076665219,0.110968079870963,80.9127107929902,4282.22824268891,0.228080579612097,14.5333333333333,14.0333333333333,9.33333333333333,24.1166666666667,21.9666666666667,0.358507711955988,0.34314369940157,77.9744271479992,11.7
21,Edgewater,1261.27941176471,0.341439580700304,0.462864803314387,0.062323412487885,53997.9215686275,0.427023184919793,0.105086476667849,0.155888040560439,76.2606748231691,31452.2269228837,0.107105111968109,9.53529411764706,11.3235294117647,8.81176470588235,32.0176470588235,28.1,0.640921620637645,0.311590192442026,93.701588153188,28.5
22,Edison Park,1207.53333333333,0.08408486463107,0.152985755867626,0.017320534486153,111763.733333333,0.604246915550493,0.22319245874496,0.149511377076159,83.1623713680348,3629.45769957034,0.170864481416515,9,9.63333333333333,8.4,37.2333333333333,31.0333333333333,0.803517044896355,0.311658616626468,90.7054512131852,20
23,Englewood,627.30303030303,0.672615646079625,0.991281578110209,0.248643921626019,21151.7075757576,0.67928081386359,0.24379775342922,0.143801994567205,79.1096033482376,3249.11621723257,0.148939481075854,20.4363636363636,19.3818181818182,14.6,18.2545454545455,16.8727272727273,0.137361680465129,0.552656006544162,82.9053944704592,7.7
24,Forest Glen,1135.60416666667,0.121791776608676,0.295531022383443,0.044420499354257,114787.5625,0.779725861436854,0.239113021485587,0.188614876374701,79.3949173315174,2975.7631091148,0.082570500293705,9.275,9.325,8.2,36.375,31.45,0.795977011494253,0.303007888546061,95.025450638012,14.5
25,Fuller Park,580,0.644793057776759,0.984877024694636,0.329764817848991,18561.75,0.965216132596756,0.171914010429849,0.295866608928034,80.6881749918246,1266.34540708685,0.364634137385474,17.1,15.25,12.75,21,19.5,0.246094901267315,0.44056030432517,56.078193635412,2.3
26,Gage Park,1735.13541666667,0.581814706671239,0.958227038714993,0.12739622520586,40422.09375,0.657358645137586,0.309038708233477,0.082882446767717,84.7453333023087,7211.36861108301,0.184150619276085,13.8,14.9375,9.3375,21.675,20.8625,0.288139183613322,0.332107237110467,79.6520295972402,5.8
27,Garfield Ridge,1312.58666666667,0.297637089930404,0.646826208095296,0.113164215818646,63520.7866666667,0.637960596180143,0.224892077678897,0.158105404703329,84.063459952305,3897.77937900611,0.250395847758911,12.58,12.39,9.33,28.57,24.82,0.504789272030651,0.335809444397839,78.4414297464489,8.7
28,Grand Boulevard,1055.97619047619,0.529734876882629,0.972858160109768,0.19458487103862,40199.2976190476,0.684314861334421,0.261942064985546,0.120238013002357,78.6537158235709,5533.43890513209,0.18369632759991,15.4846153846154,15.4076923076923,13.0307692307692,22.4384615384615,20.7,0.299292661361627,0.415265173580358,81.1861196732932,10.9
29,Greater Grand Crossing,966.708333333333,0.582065087212223,0.987609323461256,0.232982487712051,26185.3583333333,0.627935863057971,0.238619778671443,0.13647479004647,80.3508678795335,3775.9205335015,0.200579588132215,17.55,16.6583333333333,13.55,20.6,18.575,0.218667108753316,0.478538496034869,77.0875267756087,6.2
30,Hegewisch,1221.41666666667,0.356353177757331,0.586592143383643,0.063768695543803,48964.1666666667,0.580544863840905,0.188178616821112,0.168230090973979,79.8899551583919,2023.80841415818,0.284945729187813,14,12.9,9.3,28.05,24.2,0.481579722959034,0.350833813675347,78.777446467337,5.2
31,Hermosa,1396.83333333333,0.47235198110496,0.897172621890333,0.062928870683615,41550.3472222222,0.556504392033955,0.247476464607321,0.105280751474592,83.5160991675806,8295.33596248541,0.130895800100076,13.7833333333333,14.3166666666667,9.18333333333333,22.5666666666667,21.8166666666667,0.325609097160821,0.328256125995102,87.1320521834554,12.1
32,Humboldt Park,1381.33222222222,0.533111900659228,0.903331539955919,0.116247520352238,40440.4544444444,0.596765958596806,0.272110993089867,0.09430373487614,81.8729383988898,7914.40784170113,0.150499642752291,14.8733333333333,15.4933333333333,10.78,21.2666666666667,20.6933333333333,0.276702033598585,0.38277618514509,84.5230621003654,10
33,Hyde Park,1275.69444444444,0.354343867647587,0.515737559752121,0.067739276164096,60889.875,0.353005219814094,0.117586711254166,0.12923057189893,75.8178147639405,9705.48888539058,0.057479900378673,8.34166666666667,11.4333333333333,9.33333333333333,31.3583333333333,27.9666666666667,0.625442086648983,0.310255171777128,96.6069112186669,16
34,Irving Park,1235.38333333333,0.275899636226359,0.5497527677628,0.041231095514704,68563.4266666667,0.452446245583096,0.20126707179644,0.104077888933104,80.9709792213252,7204.83269717393,0.103743814982811,9.70666666666667,11.3333333333333,8.44,31.22,28.3066666666667,0.63005698005698,0.301758590183383,92.972988892859,18.1
35,Jefferson Park,1384.48333333333,0.235580676964985,0.377534313498756,0.047737586243608,77011.4888888889,0.558028465433542,0.191281924592978,0.159480371881558,83.5501933026442,5335.6073551315,0.179330469460311,10.5833333333333,11.2333333333333,8.73333333333333,33.0833333333333,28.2666666666667,0.664898320070734,0.324575381058385,87.4206123450627,13.9
36,Kenwood,1330.45238095238,0.363946859381436,0.815715338481599,0.099528100501283,53428.5952380952,0.604789598889354,0.207281410668439,0.155690109768969,76.1132020402398,7445.25894660991,0.068802980189417,11.1428571428571,11.5428571428571,10.9571428571429,28.3428571428571,25.7857142857143,0.521072796934866,0.352201562839237,94.5283014931732,11.9
37,Lake View,1411.27941176471,0.154508739427272,0.210495263978682,0.028363586899723,102779.264705882,0.296253860751017,0.119728360312914,0.081094022771234,77.9356636502421,15318.7166148641,0.107433800397322,5.49411764705882,9.61764705882353,7.8764705882353,37.4294117647059,33.0676470588235,0.850741578682755,0.276406537017224,95.2932204427677,22.6
38,Lincoln Park,1423.50416666667,0.144196880605872,0.211557635313362,0.028697405339888,119184.733333333,0.317482952807019,0.142450732904321,0.087849494859585,77.9849543543871,13171.091507764,0.092502824017896,5.765,9.775,8.185,37.375,32.73,0.842484526967286,0.286773955174977,95.881663172285,15.6
39,Lincoln Square,1097.12575757576,0.190966555617729,0.311742664107765,0.045251115104461,79189.4454545455,0.350671376315803,0.159496622098523,0.091612401985749,78.5290942700624,8116.01148523966,0.083266105624269,7.5,10.1454545454545,8.12727272727273,35.6545454545455,31.5090909090909,0.783437826541275,0.293147099339,95.8011813775486,15.6
40,Logan Square,1246.24135802469,0.30028995768371,0.512454944048106,0.039692299551925,80381.6185185185,0.345424690886906,0.180043619544123,0.068336978953101,80.7105156391692,8929.93278268014,0.10708664593835,8.32962962962963,11.2481481481482,8.2037037037037,29.8111111111111,27.8444444444444,0.5931902282477,0.272131166070609,92.9689736568623,8.2
41,Loop,2976.7,0.156967754936147,0.392831763302474,0.061274192799291,118688.05,0.171883736385203,0.055475621020297,0.084167994194884,76.4976090719814,13327.9236007085,0.203180440995643,5.7,10.52,8.4,34.98,32.44,0.790406719717065,0.289507886486263,90.5560304434598,18.8
42,Lower West Side,1384.28787878788,0.444764264615154,0.791214557792273,0.063166630042279,49609.6666666667,0.423687956174199,0.186671825821087,0.103773395876893,82.4128360536952,8229.08407721456,0.203145299421751,11.5090909090909,13.1,8.62727272727273,24.4272727272727,23.2909090909091,0.392753797926212,0.291142767847675,82.3399514456031,10.7
43,McKinley Park,1524.53333333333,0.469190414953756,0.830686992689969,0.105907922269408,46595.2,0.525301843394334,0.229358017537748,0.110230134893825,81.8328076725781,6006.99507619923,0.228190998434506,12.86,13.18,8.68,25.32,22.84,0.400221043324491,0.308674352582745,78.9273759357038,12.7
44,Montclare,1256.91666666667,0.397803813302332,0.66858300875978,0.067011845187962,34298.2,0.690861614492783,0.217082547293009,0.169101734034977,84.102211497043,5645.7413375754,0.180584972586508,12.75,12.8,9.15,28.2,24.25,0.485521662245801,0.334500473919884,83.7180027227397,8.4
45,Morgan Park,970.142857142857,0.277898466757357,0.62113839268756,0.102258665885261,55301.7261904762,0.724335983760416,0.240592753822502,0.168875309508801,80.2142858347228,2716.10233838499,0.145956237057166,12.1571428571429,12,10.6142857142857,29.7,26.0285714285714,0.552260957433371,0.368546660234154,87.9524707310658,6.5
